sample,pop,leaf_length,leaf_width,upper_leaf_angle,leaf_angle_boxcox_transformed
Z002E0153,2,735.0135,93.5833,67.7636,11224819.94
Z002E0154,2,765.3766,104.6938,68.4499,11708940.35
Z002E0155,2,726.1078,104.5392,71.7088,14228533.27
Z002E0156,2,789.9055,100.3467,65.2957,9608724.39
Z002E0157,2,725.7759,88.8945,60.436,6948935.689
Z002E0158,2,706.7513,99.4771,69.9294,12806570.46
Z002E0159,2,717.6594,95.6439,71.8553,14350737.3
Z002E0160,2,775.1271,99.5697,66.8163,10581803.41
Z002E0161,2,707.8233,104.9092,62.8472,8186766.764
Z002E0162,2,721.5259,89.6611,68.6727,11869471.56
Z002E0163,2,765.2014,92.0767,70.7027,13410548.52
Z002E0164,2,778.9553,102.7182,72.0906,14548685.02
Z002E0165,2,725.6181,84.1895,64.5358,9148770.572
Z002E0166,2,680.5851,97.4329,66.7842,10560517.38
Z002E0167,2,695.2416,94.207,64.3806,9056930.417
Z002E0168,2,735.9087,97.2405,74.9247,17099998.32
Z002E0169,2,671.5128,104.9578,73.8139,16062538.27
Z002E0170,2,819.0832,89.7901,66.4608,10347879.4
Z002E0171,2,678.0587,105.407,57.2777,5549345.955
Z002E0172,2,772.7366,95.8157,67.7575,11220586.48
Z002E0173,2,773.432,90.3189,61.0014,7225439.057
Z002E0174,2,715.9578,89.0149,54.4406,4485311.404
Z002E0175,2,736.8782,96.8286,69.311,12338665.36
Z002E0176,2,730.5284,95.5276,71.5824,14123733.91
Z002E0178,2,677.249,97.3006,60.3072,6887090.352
Z002E0179,2,743.7168,85.5846,63.6447,8630973.852
Z002E0180,2,740.1623,95.8294,71.8359,14334508.92
Z002E0181,2,767.0857,102.994,71.5004,14056061.98
Z002E0182,2,786.3169,101.256,60.8659,7158424.396
Z002E0183,2,726.0803,91.1554,51.6832,3607470.814
Z002E0184,2,666.6267,101.5859,61.5489,7501095.144
Z002E0185,2,676.2986,93.4397,45.7176,2157756.356
